Matrícula_empregado,Sexo,Escolaridade,Satisfação_clientes_média,Absenteísmo,Distância_trabalho,Qtde_filhos,Idade,Experiência_vendas,DISC_Dominância,DISC_Influência,DISC_Estabilidade,DISC_Conformidade,Perfil_Comunicador,Perfil_Executor,Perfil_Analista,Perfil_Planejador
7746568,M,Médio,"7,00","4,0%","17,90","2,00","27,00","3,20","3,00","3,00","3,00","2,00","5,00","7,00","2,00","0,00"
6702393,M,Médio,"6,00","3,9%","31,70","1,00","25,00","0,80","3,00","2,00","4,00","2,00","6,00","8,00","0,00","0,00"
6570881,M,Médio,"6,00","3,1%","12,60","0,00","26,00","2,40","3,00","2,00","0,00","0,00","3,00","4,00","1,00","4,00"
8405324,M,Médio,"7,00","6,9%","16,60","3,00","23,00","2,70","3,00","3,00","1,00","2,00","5,00","7,00","3,00","7,00"
9057789,M,Médio,"5,00","3,7%","23,40","0,00","19,00","0,90","2,00","3,00","3,00","1,00","5,00","3,00","4,00","9,00"
5109931,M,Médio,"5,00","6,7%","16,20","3,00","30,00","1,50","3,00","3,00","4,00","1,00","5,00","1,00","2,00","7,00"
7908509,F,Médio,"6,00","3,5%","13,30","2,00","30,00","1,00","2,00","3,00","1,00","1,00","7,00","2,00","6,00","2,00"
8030856,F,Médio,"8,00","3,5%","34,00","3,00","19,00","1,00","4,00","4,00","1,00","3,00","9,00","7,00","0,00","6,00"
7692892,M,Superior,"7,00","5,4%","40,00","2,00","24,00","2,40","3,00","3,00","1,00","1,00","7,00","4,00","0,00","3,00"
2371701,M,Médio,"7,00","2,0%","39,80","0,00","24,00","0,30","2,00","2,00","2,00","1,00","5,00","7,00","3,00","3,00"
6003621,F,Médio,"7,00","1,2%","7,70","2,00","27,00","1,00","3,00","3,00","3,00","4,00","4,00","6,00","1,00","3,00"
5842250,M,Médio,"8,00","5,7%","40,80","3,00","18,00","1,70","4,00","4,00","2,00","1,00","9,00","7,00","1,00","2,00"
8495204,F,Médio,"6,00","3,0%","19,30","2,00","22,00","0,40","2,00","3,00","4,00","3,00","5,00","6,00","6,00","5,00"
9132388,F,Médio,"5,00","6,0%","14,90","2,00","20,00","1,60","2,00","2,00","3,00","4,00","6,00","8,00","3,00","5,00"
5168298,M,Médio,"8,00","4,8%","43,20","2,00","18,00","0,80","4,00","4,00","2,00","2,00","7,00","6,00","1,00","3,00"
6492901,M,Médio,"8,00","1,8%","28,00","3,00","29,00","1,10","2,00","4,00","2,00","0,00","7,00","8,00","3,00","3,00"
4700769,M,Médio,"6,00","4,2%","59,90","2,00","24,00","0,10","3,00","2,00","2,00","3,00","5,00","3,00","1,00","8,00"
7595130,M,Médio,"6,00","4,2%","23,30","2,00","19,00","2,70","3,00","2,00","3,00","4,00","3,00","2,00","7,00","4,00"
6874233,M,Médio,"5,00","7,1%","12,60","1,00","28,00","1,50","0,00","2,00","5,00","4,00","2,00","3,00","6,00","2,00"
5746470,M,Médio,"8,00","7,7%","20,40","2,00","24,00","1,00","3,00","3,00","1,00","1,00","6,00","7,00","0,00","1,00"
2692099,F,Médio,"8,00","4,4%","29,90","1,00","22,00","1,40","4,00","3,00","0,00","1,00","5,00","8,00","0,00","7,00"
6214074,M,Médio,"5,00","2,3%","28,40","3,00","25,00","1,90","2,00","2,00","3,00","4,00","3,00","7,00","6,00","10,00"
8600941,M,Superior,"6,00","3,0%","32,90","0,00","26,00","0,00","2,00","3,00","3,00","5,00","4,00","5,00","10,00","0,00"
7754578,M,Médio,"5,00","2,7%","19,40","1,00","21,00","1,30","2,00","1,00","4,00","2,00","4,00","3,00","2,00","8,00"
8413393,F,Médio,"5,00","4,5%","17,70","3,00","25,00","0,60","2,00","1,00","4,00","3,00","4,00","2,00","0,00","3,00"
9104384,M,Médio,"7,00","5,2%","42,00","3,00","22,00","0,80","2,00","3,00","1,00","2,00","8,00","8,00","5,00","3,00"
9959505,F,Médio,"7,00","3,3%","32,80","1,00","23,00","3,60","3,00","4,00","3,00","1,00","6,00","2,00","7,00","7,00"
9393077,F,Superior,"8,00","2,0%","17,00","3,00","23,00","4,70","2,00","4,00","2,00","1,00","7,00","7,00","7,00","3,00"
4833939,F,Médio,"5,00","7,3%","11,00","0,00","20,00","1,80","1,00","2,00","4,00","1,00","2,00","7,00","5,00","5,00"
2487746,F,Superior,"6,00","2,5%","15,90","0,00","20,00","2,80","1,00","3,00","0,00","1,00","5,00","3,00","2,00","3,00"
4431932,M,Médio,"5,00","2,8%","10,00","1,00","18,00","3,20","1,00","3,00","3,00","3,00","2,00","2,00","7,00","2,00"
1432847,M,Médio,"7,00","5,1%","14,30","2,00","30,00","3,80","4,00","3,00","2,00","1,00","5,00","8,00","9,00","2,00"
8332704,M,Médio,"5,00","7,1%","35,90","3,00","28,00","2,90","3,00","3,00","2,00","3,00","4,00","3,00","3,00","2,00"
5690458,F,Médio,"7,00","2,1%","66,80","2,00","25,00","2,30","3,00","3,00","2,00","2,00","7,00","4,00","0,00","0,00"
1522624,F,Médio,"6,00","3,7%","18,40","2,00","25,00","2,40","2,00","2,00","3,00","4,00","4,00","4,00","0,00","5,00"
1635502,M,Superior,"7,00","4,3%","18,00","1,00","25,00","0,50","3,00","2,00","1,00","4,00","3,00","7,00","6,00","1,00"
3248290,F,Médio,"8,00","4,0%","15,50","2,00","30,00","4,20","5,00","3,00","2,00","0,00","8,00","2,00","1,00","3,00"
4208182,M,Médio,"5,00","2,0%","48,50","2,00","27,00","0,60","3,00","3,00","3,00","1,00","4,00","7,00","1,00","9,00"
5544146,M,Médio,"5,00","1,8%","32,10","3,00","26,00","2,10","2,00","2,00","1,00","4,00","1,00","7,00","6,00","7,00"
1846587,F,Médio,"7,00","3,4%","14,80","2,00","24,00","0,40","3,00","2,00","2,00","3,00","3,00","2,00","7,00","3,00"
7453748,F,Médio,"7,00","6,8%","18,30","1,00","23,00","1,80","3,00","4,00","2,00","2,00","5,00","8,00","3,00","3,00"
4462406,M,Médio,"6,00","4,0%","32,40","1,00","23,00","4,70","1,00","2,00","3,00","3,00","4,00","7,00","5,00","2,00"
9157191,M,Médio,"5,00","6,1%","14,60","1,00","18,00","2,20","3,00","2,00","2,00","3,00","2,00","7,00","3,00","10,00"
2611803,F,Médio,"8,00","4,6%","11,00","0,00","21,00","0,80","3,00","3,00","1,00","2,00","7,00","7,00","0,00","0,00"
1285571,F,Médio,"8,00","3,7%","16,90","1,00","20,00","1,10","5,00","3,00","3,00","3,00","8,00","7,00","6,00","4,00"
5418669,M,Médio,"5,00","3,5%","12,60","3,00","18,00","1,80","3,00","1,00","3,00","1,00","4,00","6,00","0,00","7,00"
2824510,F,Médio,"6,00","3,8%","28,70","2,00","22,00","1,90","3,00","3,00","3,00","2,00","2,00","5,00","4,00","2,00"
1521781,M,Médio,"7,00","3,4%","24,80","2,00","26,00","3,70","5,00","3,00","3,00","2,00","5,00","6,00","4,00","5,00"
4080977,F,Médio,"5,00","4,6%","26,30","1,00","28,00","4,70","1,00","2,00","2,00","3,00","3,00","7,00","7,00","0,00"
1812419,M,Médio,"7,00","5,8%","17,30","2,00","30,00","1,90","1,00","3,00","1,00","3,00","7,00","6,00","1,00","3,00"
7666562,M,Médio,"5,00","3,5%","11,10","0,00","21,00","2,20","1,00","3,00","3,00","5,00","5,00","4,00","3,00","10,00"
4145517,M,Médio,"6,00","5,6%","13,40","3,00","29,00","2,00","2,00","3,00","1,00","4,00","5,00","6,00","7,00","9,00"
2103804,M,Médio,"5,00","3,4%","18,50","0,00","23,00","2,40","3,00","3,00","2,00","4,00","7,00","3,00","7,00","5,00"
9026932,F,Médio,"5,00","4,1%","31,40","1,00","18,00","3,40","3,00","2,00","3,00","0,00","3,00","10,00","4,00","8,00"
8904616,M,Médio,"7,00","1,4%","13,40","2,00","21,00","3,60","4,00","2,00","2,00","2,00","7,00","6,00","7,00","9,00"
5910147,M,Médio,"8,00","3,9%","24,90","2,00","28,00","1,80","4,00","4,00","2,00","1,00","7,00","8,00","6,00","7,00"
2353106,M,Médio,"6,00","3,0%","15,30","3,00","24,00","0,80","0,00","3,00","3,00","4,00","5,00","7,00","4,00","5,00"
5366656,M,Médio,"8,00","3,2%","36,30","2,00","23,00","1,30","3,00","3,00","1,00","0,00","9,00","5,00","2,00","3,00"
1584269,M,Superior,"7,00","4,7%","9,70","0,00","19,00","2,50","4,00","4,00","1,00","4,00","5,00","1,00","3,00","0,00"
5191092,F,Médio,"6,00","5,0%","39,00","0,00","19,00","0,60","3,00","3,00","2,00","5,00","6,00","6,00","0,00","8,00"
7898040,F,Médio,"7,00","4,3%","14,90","0,00","26,00","2,60","4,00","2,00","1,00","2,00","5,00","5,00","2,00","6,00"
5980006,F,Médio,"6,00","5,7%","34,00","0,00","25,00","0,30","2,00","2,00","1,00","2,00","4,00","7,00","0,00","3,00"
8231819,F,Médio,"8,00","6,7%","36,20","0,00","21,00","3,80","2,00","3,00","2,00","0,00","6,00","10,00","0,00","0,00"
2080252,M,Médio,"8,00","4,5%","16,40","2,00","21,00","1,70","4,00","3,00","2,00","1,00","9,00","2,00","3,00","1,00"
9982297,M,Superior,"7,00","2,6%","66,00","0,00","22,00","1,70","3,00","3,00","1,00","2,00","4,00","10,00","3,00","5,00"
4245009,M,Médio,"5,00","2,2%","30,20","3,00","20,00","0,90","3,00","2,00","2,00","3,00","4,00","2,00","1,00","4,00"
4789861,M,Médio,"5,00","4,5%","28,90","1,00","24,00","0,20","2,00","2,00","4,00","3,00","0,00","3,00","10,00","0,00"
5057653,M,Médio,"5,00","6,6%","13,30","1,00","22,00","4,50","3,00","2,00","4,00","5,00","6,00","5,00","6,00","7,00"
9477989,M,Superior,"8,00","5,3%","11,20","3,00","23,00","0,60","4,00","3,00","0,00","0,00","9,00","10,00","2,00","3,00"
8438119,F,Médio,"6,00","2,8%","13,50","3,00","30,00","0,10","3,00","3,00","2,00","2,00","5,00","3,00","8,00","6,00"
8530359,M,Médio,"7,00","3,4%","18,00","2,00","22,00","3,40","4,00","2,00","2,00","5,00","6,00","8,00","2,00","1,00"
4122549,F,Médio,"6,00","3,8%","16,30","3,00","30,00","1,20","4,00","2,00","3,00","2,00","5,00","0,00","2,00","0,00"
2479182,M,Médio,"5,00","5,2%","15,20","3,00","28,00","1,80","2,00","2,00","3,00","1,00","4,00","7,00","6,00","0,00"
8159930,F,Médio,"6,00","6,7%","20,20","2,00","28,00","0,60","2,00","4,00","2,00","3,00","10,00","5,00","0,00","1,00"
6081400,M,Superior,"7,00","3,7%","19,70","0,00","27,00","2,30","4,00","2,00","2,00","2,00","9,00","7,00","4,00","4,00"
7826293,M,Médio,"6,00","4,7%","13,40","0,00","26,00","1,70","2,00","2,00","3,00","3,00","6,00","1,00","9,00","1,00"
6091362,F,Médio,"6,00","3,5%","22,60","3,00","30,00","2,70","2,00","3,00","2,00","3,00","5,00","6,00","1,00","2,00"
9314168,M,Médio,"6,00","4,5%","55,30","2,00","29,00","0,30","4,00","2,00","0,00","4,00","5,00","10,00","3,00","4,00"
6791546,F,Médio,"8,00","4,5%","7,00","0,00","18,00","0,90","3,00","5,00","2,00","3,00","7,00","6,00","0,00","8,00"
4093991,M,Médio,"8,00","5,7%","20,90","3,00","26,00","1,70","3,00","4,00","2,00","4,00","6,00","7,00","1,00","2,00"
2726340,M,Médio,"5,00","3,9%","18,10","3,00","27,00","0,20","5,00","2,00","3,00","4,00","4,00","6,00","7,00","6,00"
1715403,F,Médio,"7,00","3,6%","13,00","3,00","26,00","0,20","4,00","4,00","3,00","2,00","4,00","0,00","1,00","7,00"
9007378,M,Médio,"8,00","2,6%","46,90","3,00","25,00","1,20","2,00","3,00","3,00","0,00","7,00","6,00","3,00","2,00"
3815054,F,Médio,"5,00","2,5%","16,10","3,00","30,00","0,80","3,00","1,00","3,00","4,00","5,00","2,00","6,00","7,00"
7932953,M,Médio,"7,00","3,4%","31,90","3,00","26,00","1,60","1,00","3,00","0,00","2,00","6,00","0,00","6,00","2,00"
7769554,M,Médio,"8,00","4,1%","37,60","2,00","26,00","0,50","3,00","3,00","2,00","2,00","7,00","6,00","2,00","7,00"
4876607,M,Médio,"8,00","5,4%","35,70","2,00","25,00","1,70","5,00","3,00","2,00","2,00","7,00","7,00","3,00","2,00"
1303733,F,Médio,"5,00","3,5%","15,60","1,00","19,00","2,10","2,00","1,00","3,00","1,00","4,00","3,00","6,00","3,00"
5845616,M,Superior,"5,00","7,0%","14,60","0,00","20,00","1,80","2,00","2,00","5,00","2,00","5,00","3,00","8,00","6,00"
7965799,F,Médio,"7,00","3,0%","36,80","0,00","19,00","0,40","1,00","3,00","0,00","4,00","3,00","7,00","2,00","0,00"
4651166,F,Médio,"6,00","5,2%","18,10","0,00","30,00","0,00","3,00","2,00","3,00","1,00","4,00","7,00","3,00","2,00"
5330051,M,Superior,"5,00","3,9%","22,50","2,00","27,00","2,80","2,00","2,00","2,00","3,00","6,00","2,00","0,00","3,00"
8651360,M,Médio,"7,00","2,9%","19,90","0,00","24,00","1,50","1,00","2,00","2,00","3,00","6,00","8,00","2,00","5,00"
3834659,M,Médio,"8,00","5,2%","18,60","3,00","29,00","0,20","4,00","2,00","3,00","1,00","7,00","0,00","1,00","6,00"
4708079,F,Médio,"6,00","4,8%","13,80","0,00","28,00","0,90","1,00","3,00","3,00","1,00","4,00","3,00","10,00","6,00"
2361901,M,Superior,"6,00","4,1%","24,60","0,00","19,00","2,40","3,00","3,00","4,00","0,00","7,00","3,00","2,00","6,00"
8163790,F,Médio,"5,00","7,7%","33,00","0,00","18,00","0,60","2,00","3,00","1,00","2,00","2,00","9,00","5,00","5,00"
9729484,F,Médio,"8,00","2,9%","21,10","1,00","19,00","2,80","4,00","3,00","1,00","3,00","5,00","6,00","0,00","0,00"
7086781,F,Médio,"8,00","3,7%","15,10","2,00","21,00","1,70","3,00","4,00","2,00","3,00","8,00","5,00","0,00","7,00"
8882043,M,Médio,"5,00","4,6%","10,00","3,00","29,00","0,20","3,00","2,00","3,00","3,00","7,00","1,00","6,00","1,00"
7735477,M,Médio,"5,00","3,6%","14,60","0,00","19,00","1,60","3,00","2,00","3,00","1,00","6,00","4,00","3,00","3,00"
2580988,M,Médio,"6,00","2,6%","14,50","1,00","28,00","3,20","3,00","2,00","1,00","2,00","4,00","0,00","3,00","3,00"
6103742,M,Médio,"6,00","5,6%","20,20","0,00","23,00","3,90","3,00","3,00","4,00","4,00","5,00","4,00","10,00","4,00"
3771181,M,Médio,"8,00","4,8%","32,80","3,00","29,00","2,90","4,00","3,00","0,00","0,00","5,00","9,00","0,00","2,00"
3340824,M,Médio,"7,00","4,3%","29,60","2,00","27,00","1,50","3,00","3,00","2,00","3,00","5,00","4,00","8,00","2,00"
2111071,F,Médio,"7,00","1,1%","24,80","1,00","24,00","1,00","2,00","3,00","2,00","3,00","5,00","8,00","0,00","4,00"
6295535,M,Médio,"6,00","4,8%","18,30","1,00","18,00","2,00","3,00","2,00","3,00","2,00","5,00","8,00","1,00","3,00"
6044218,F,Médio,"8,00","5,5%","13,50","2,00","19,00","0,20","4,00","4,00","0,00","0,00","6,00","6,00","1,00","1,00"
9637972,M,Médio,"8,00","5,2%","12,80","0,00","30,00","0,50","2,00","4,00","2,00","3,00","8,00","9,00","3,00","2,00"
2084418,M,Superior,"6,00","6,3%","13,90","3,00","24,00","1,70","4,00","3,00","1,00","2,00","4,00","7,00","6,00","1,00"
9993643,M,Médio,"6,00","3,3%","11,90","3,00","28,00","0,50","4,00","3,00","0,00","2,00","4,00","4,00","2,00","3,00"
2963386,F,Médio,"8,00","3,8%","7,40","1,00","25,00","0,80","5,00","3,00","2,00","1,00","6,00","6,00","1,00","0,00"
7209860,M,Médio,"6,00","4,1%","22,20","2,00","30,00","0,60","3,00","2,00","3,00","3,00","4,00","10,00","6,00","3,00"
5460277,M,Médio,"6,00","3,6%","58,20","2,00","28,00","0,50","2,00","3,00","3,00","5,00","7,00","7,00","7,00","0,00"
8250697,M,Médio,"6,00","5,0%","44,20","2,00","29,00","1,00","2,00","2,00","3,00","4,00","4,00","3,00","3,00","1,00"
4416060,F,Médio,"7,00","0,7%","12,80","0,00","25,00","0,50","4,00","3,00","3,00","0,00","7,00","7,00","6,00","6,00"
7701708,M,Médio,"7,00","2,2%","16,50","2,00","30,00","0,90","4,00","4,00","2,00","1,00","5,00","6,00","8,00","0,00"
3035990,M,Médio,"7,00","7,6%","27,10","0,00","25,00","1,60","2,00","2,00","1,00","2,00","7,00","3,00","3,00","5,00"
7854547,F,Médio,"8,00","4,5%","15,10","0,00","28,00","1,60","4,00","4,00","0,00","2,00","8,00","6,00","0,00","1,00"
5860688,F,Médio,"8,00","3,9%","32,40","1,00","29,00","1,30","3,00","3,00","1,00","0,00","6,00","4,00","0,00","3,00"
5036905,M,Médio,"5,00","2,9%","24,50","3,00","28,00","0,90","3,00","2,00","3,00","2,00","4,00","4,00","7,00","4,00"
7153958,M,Médio,"5,00","3,7%","17,00","2,00","28,00","0,50","1,00","2,00","1,00","3,00","2,00","1,00","6,00","7,00"
6378557,F,Médio,"5,00","0,7%","23,50","0,00","30,00","2,60","4,00","3,00","2,00","3,00","4,00","2,00","5,00","7,00"
1784383,M,Médio,"8,00","4,6%","8,10","2,00","27,00","3,90","4,00","4,00","1,00","0,00","7,00","9,00","2,00","0,00"
1119043,F,Médio,"7,00","2,8%","14,90","1,00","30,00","0,00","3,00","2,00","2,00","2,00","9,00","0,00","4,00","4,00"
7488915,M,Médio,"6,00","0,8%","31,50","3,00","29,00","0,10","1,00","3,00","3,00","4,00","7,00","3,00","0,00","5,00"
9127351,F,Médio,"7,00","7,4%","16,90","3,00","30,00","2,20","2,00","3,00","0,00","2,00","6,00","2,00","2,00","2,00"
8974141,M,Médio,"8,00","2,5%","30,60","0,00","29,00","0,10","4,00","3,00","3,00","2,00","8,00","5,00","3,00","1,00"
9601925,M,Médio,"5,00","1,9%","26,60","1,00","30,00","1,80","1,00","2,00","3,00","3,00","7,00","4,00","5,00","3,00"
1411751,M,Superior,"6,00","4,5%","13,70","2,00","28,00","1,10","2,00","2,00","3,00","3,00","4,00","3,00","5,00","6,00"
4387213,M,Médio,"6,00","4,5%","21,80","1,00","27,00","3,30","3,00","3,00","0,00","3,00","4,00","1,00","2,00","3,00"
8812880,M,Médio,"6,00","3,0%","18,80","0,00","27,00","1,70","4,00","2,00","3,00","2,00","6,00","5,00","6,00","6,00"
4510828,M,Médio,"8,00","3,0%","15,00","1,00","27,00","1,20","4,00","4,00","4,00","0,00","5,00","6,00","5,00","1,00"
7339777,M,Médio,"6,00","3,0%","11,90","1,00","29,00","1,20","3,00","2,00","2,00","3,00","3,00","4,00","10,00","3,00"
9796296,F,Superior,"6,00","4,0%","17,80","0,00","26,00","0,20","2,00","2,00","2,00","4,00","3,00","10,00","5,00","4,00"
9877989,M,Médio,"8,00","3,1%","13,60","1,00","30,00","0,20","3,00","3,00","2,00","1,00","7,00","9,00","3,00","3,00"
7862631,M,Médio,"5,00","4,7%","17,90","3,00","27,00","0,60","3,00","2,00","4,00","3,00","5,00","3,00","4,00","6,00"
3706649,M,Médio,"8,00","4,4%","25,20","2,00","27,00","0,70","2,00","3,00","0,00","2,00","7,00","8,00","0,00","1,00"
2221782,F,Médio,"7,00","5,4%","33,80","1,00","27,00","4,90","1,00","3,00","1,00","0,00","7,00","9,00","0,00","7,00"
1065073,M,Médio,"8,00","5,8%","15,90","3,00","30,00","0,00","4,00","3,00","0,00","3,00","6,00","9,00","1,00","3,00"
1510279,F,Médio,"7,00","7,5%","26,70","3,00","27,00","2,00","4,00","2,00","0,00","3,00","5,00","7,00","2,00","7,00"
4057359,F,Médio,"5,00","2,9%","17,10","1,00","28,00","0,30","1,00","2,00","3,00","2,00","6,00","5,00","8,00","7,00"
5574549,M,Médio,"6,00","3,9%","24,20","3,00","29,00","4,50","3,00","1,00","2,00","4,00","7,00","2,00","3,00","5,00"
4431602,M,Médio,"6,00","1,8%","20,40","2,00","27,00","0,70","2,00","2,00","2,00","4,00","2,00","8,00","1,00","3,00"
4994090,F,Médio,"8,00","2,0%","58,80","0,00","25,00","1,80","4,00","3,00","2,00","3,00","7,00","10,00","0,00","6,00"
5583184,F,Médio,"5,00","3,5%","61,30","2,00","25,00","1,60","3,00","2,00","4,00","0,00","7,00","0,00","7,00","10,00"
8825338,F,Médio,"5,00","3,6%","15,80","1,00","26,00","2,10","3,00","2,00","3,00","5,00","0,00","4,00","9,00","0,00"
1170099,M,Médio,"6,00","6,9%","32,40","3,00","25,00","0,30","3,00","2,00","2,00","3,00","6,00","3,00","2,00","4,00"
7590669,M,Médio,"7,00","2,3%","23,30","2,00","28,00","1,30","4,00","3,00","2,00","2,00","5,00","0,00","0,00","2,00"
3683917,F,Médio,"8,00","4,7%","44,10","3,00","29,00","2,00","4,00","4,00","2,00","4,00","8,00","1,00","5,00","0,00"
5254595,M,Médio,"7,00","3,2%","16,20","0,00","29,00","0,30","3,00","3,00","3,00","0,00","5,00","4,00","2,00","3,00"
8251901,M,Médio,"7,00","2,5%","21,70","1,00","26,00","0,60","3,00","4,00","1,00","3,00","6,00","5,00","5,00","6,00"
8302007,M,Médio,"6,00","2,7%","60,30","0,00","30,00","4,30","4,00","2,00","4,00","4,00","5,00","2,00","5,00","7,00"
3637451,M,Médio,"5,00","4,7%","65,90","3,00","25,00","1,90","1,00","2,00","4,00","1,00","2,00","6,00","7,00","0,00"
2798915,M,Médio,"8,00","3,6%","58,90","0,00","25,00","2,20","3,00","3,00","1,00","2,00","9,00","9,00","3,00","3,00"
6276594,F,Médio,"6,00","0,5%","11,70","3,00","29,00","2,70","2,00","3,00","3,00","2,00","5,00","8,00","5,00","1,00"
3372670,M,Médio,"7,00","5,3%","15,80","0,00","26,00","1,00","2,00","3,00","3,00","3,00","5,00","3,00","0,00","2,00"
2462635,F,Médio,"6,00","4,9%","30,10","1,00","28,00","0,90","2,00","2,00","3,00","0,00","4,00","4,00","3,00","0,00"
5827383,M,Médio,"6,00","2,1%","16,80","3,00","27,00","2,10","2,00","3,00","2,00","3,00","4,00","10,00","2,00","8,00"
2068983,F,Médio,"5,00","5,1%","33,70","1,00","25,00","3,80","1,00","2,00","3,00","2,00","3,00","2,00","3,00","0,00"
9841975,F,Médio,"7,00","7,7%","59,10","0,00","30,00","0,30","2,00","3,00","2,00","5,00","6,00","6,00","7,00","4,00"
3578047,F,Superior,"7,00","1,9%","32,20","3,00","27,00","2,90","3,00","3,00","3,00","2,00","7,00","10,00","9,00","1,00"
3182441,M,Médio,"7,00","5,2%","14,90","0,00","30,00","3,60","4,00","4,00","2,00","2,00","7,00","8,00","3,00","4,00"
3107712,M,Médio,"8,00","3,5%","16,10","0,00","25,00","1,40","3,00","4,00","1,00","3,00","4,00","7,00","2,00","5,00"
9003715,M,Médio,"6,00","4,5%","39,70","1,00","25,00","0,30","1,00","2,00","2,00","2,00","7,00","7,00","3,00","0,00"
9074434,F,Médio,"6,00","2,6%","30,80","1,00","28,00","2,30","1,00","3,00","1,00","4,00","5,00","3,00","0,00","9,00"
7067411,F,Médio,"6,00","4,2%","20,40","0,00","27,00","1,50","1,00","2,00","3,00","3,00","5,00","4,00","2,00","8,00"
9291623,M,Médio,"7,00","3,6%","52,70","3,00","28,00","4,20","2,00","4,00","2,00","4,00","7,00","2,00","2,00","3,00"
6990729,M,Superior,"8,00","0,5%","15,70","2,00","25,00","1,70","3,00","4,00","2,00","0,00","6,00","7,00","8,00","9,00"
4769215,F,Médio,"7,00","4,9%","69,00","1,00","29,00","2,00","1,00","4,00","2,00","2,00","9,00","9,00","0,00","8,00"
2161923,M,Médio,"8,00","4,5%","21,10","3,00","30,00","4,60","4,00","4,00","1,00","1,00","7,00","6,00","1,00","0,00"
9191978,F,Médio,"7,00","3,2%","31,10","2,00","27,00","2,50","3,00","4,00","3,00","2,00","7,00","8,00","6,00","2,00"
6095816,F,Médio,"8,00","4,7%","47,90","0,00","29,00","4,70","5,00","4,00","2,00","5,00","10,00","4,00","5,00","5,00"
6416783,F,Superior,"6,00","3,2%","22,70","0,00","25,00","0,80","2,00","3,00","2,00","3,00","3,00","7,00","5,00","6,00"
2969060,M,Médio,"8,00","1,8%","26,00","3,00","29,00","1,20","4,00","3,00","1,00","0,00","7,00","10,00","3,00","0,00"
2102314,F,Médio,"8,00","3,6%","25,90","1,00","25,00","1,50","4,00","5,00","0,00","1,00","8,00","8,00","4,00","3,00"
1216710,M,Médio,"8,00","4,3%","62,60","3,00","27,00","1,70","3,00","3,00","2,00","1,00","5,00","6,00","2,00","4,00"
4264621,F,Médio,"6,00","4,5%","19,60","2,00","26,00","3,50","2,00","2,00","3,00","5,00","6,00","4,00","10,00","5,00"
4077491,F,Médio,"5,00","5,3%","19,50","2,00","29,00","1,50","1,00","1,00","3,00","3,00","5,00","1,00","9,00","3,00"
5548177,F,Médio,"7,00","4,3%","60,30","2,00","25,00","1,00","3,00","2,00","2,00","0,00","4,00","3,00","2,00","2,00"
5012521,F,Médio,"8,00","3,7%","17,10","0,00","25,00","1,20","5,00","3,00","1,00","1,00","6,00","3,00","3,00","0,00"
6175131,M,Médio,"5,00","2,6%","15,30","0,00","30,00","1,90","0,00","2,00","1,00","2,00","2,00","0,00","5,00","5,00"
2077272,F,Médio,"5,00","3,6%","22,80","2,00","28,00","0,80","3,00","2,00","4,00","5,00","3,00","10,00","7,00","2,00"
9079473,F,Médio,"6,00","2,8%","12,10","3,00","25,00","2,90","3,00","2,00","2,00","4,00","6,00","7,00","0,00","0,00"
9926230,F,Superior,"5,00","5,3%","24,40","0,00","28,00","3,90","1,00","2,00","4,00","3,00","4,00","2,00","5,00","1,00"
7149896,F,Superior,"8,00","3,8%","16,80","0,00","27,00","4,60","3,00","4,00","1,00","2,00","6,00","4,00","1,00","7,00"
8329929,F,Médio,"7,00","3,0%","37,50","1,00","27,00","1,30","4,00","3,00","1,00","1,00","6,00","6,00","0,00","0,00"
8663761,F,Superior,"5,00","3,2%","73,40","3,00","25,00","3,60","0,00","2,00","3,00","1,00","2,00","5,00","9,00","8,00"
6203059,M,Médio,"7,00","3,6%","14,40","1,00","28,00","0,40","5,00","2,00","2,00","2,00","9,00","5,00","6,00","6,00"
8400434,F,Médio,"5,00","4,6%","24,30","0,00","28,00","2,00","3,00","1,00","3,00","3,00","3,00","4,00","7,00","9,00"
4436704,F,Médio,"5,00","4,2%","60,30","0,00","25,00","0,00","0,00","2,00","4,00","3,00","7,00","0,00","5,00","2,00"
8451480,M,Médio,"5,00","6,1%","17,90","1,00","29,00","2,20","4,00","2,00","3,00","1,00","4,00","10,00","6,00","5,00"
9679631,F,Médio,"7,00","3,5%","22,20","1,00","27,00","0,50","4,00","3,00","3,00","2,00","7,00","7,00","4,00","4,00"
4621670,M,Médio,"5,00","2,5%","55,90","3,00","28,00","1,50","2,00","3,00","4,00","4,00","4,00","0,00","0,00","9,00"
5490934,M,Médio,"6,00","2,6%","18,70","1,00","27,00","1,10","4,00","3,00","3,00","4,00","1,00","2,00","7,00","10,00"
1908325,F,Médio,"7,00","4,5%","14,50","2,00","26,00","1,60","3,00","3,00","3,00","1,00","8,00","3,00","4,00","0,00"
4371626,M,Médio,"6,00","1,4%","14,60","2,00","25,00","0,00","3,00","3,00","2,00","4,00","6,00","4,00","3,00","3,00"
6839083,F,Médio,"5,00","3,5%","20,30","2,00","30,00","0,30","3,00","1,00","5,00","4,00","2,00","3,00","7,00","3,00"
6392646,M,Superior,"8,00","5,8%","35,60","1,00","27,00","1,70","3,00","3,00","0,00","0,00","5,00","9,00","0,00","0,00"
3889272,M,Médio,"5,00","3,5%","17,40","2,00","25,00","0,30","1,00","2,00","2,00","3,00","6,00","3,00","1,00","5,00"
